Sentence,Label
How long does a replacement card last?,replacement_card_duration
What is the duration of a replacement card?,replacement_card_duration
Is there an expiration date on a replacement card?,replacement_card_duration
How many days is a replacement card valid for?,replacement_card_duration
Can a replacement card be reissued if it expires?,replacement_card_duration
What happens if a replacement card expires?,replacement_card_duration
Are replacement cards valid for the same duration as the original card?,replacement_card_duration
How can I determine the duration of my replacement card?,replacement_card_duration
Does the replacement card have the same validity period as the original card?,replacement_card_duration
Can I use my replacement card up until the expiration date of my original card?,replacement_card_duration
Can I request a longer duration for my replacement card?,replacement_card_duration
Can the duration of a replacement card be customized?,replacement_card_duration
Is there a minimum duration for a replacement card?,replacement_card_duration
Can I renew my replacement card before it expires?,replacement_card_duration
Does the duration of a replacement card vary by card type?,replacement_card_duration
Is there a fee to extend the duration of a replacement card?,replacement_card_duration
What happens if I lose my replacement card before it expires?,replacement_card_duration
How many times can a replacement card be replaced?,replacement_card_duration
Is there a waiting period before I can request a replacement card?,replacement_card_duration
How long does it take to receive a replacement card?,replacement_card_duration
Can I track the status of my replacement card request?,replacement_card_duration
What documents do I need to present to request a replacement card?,replacement_card_duration
Is there a limit to the number of replacement cards I can request?,replacement_card_duration
Can I use my replacement card internationally?,replacement_card_duration
Do replacement cards have the same benefits as my original card?,replacement_card_duration
How will I know when my replacement card is about to expire?,replacement_card_duration
Can I extend the duration of my replacement card after it has expired?,replacement_card_duration
Is there a grace period for a replacement card that has expired?,replacement_card_duration
Can I use a replacement card for online purchases?,replacement_card_duration
Are replacement cards eligible for cashback or rewards programs?,replacement_card_duration
How do I request a replacement card?,replacement_card_duration
When should I request a replacement card?,replacement_card_duration
Are there any fees associated with requesting a replacement card?,replacement_card_duration
Can a replacement card be used for ATM withdrawals?,replacement_card_duration
Do I need to activate my replacement card before using it?,replacement_card_duration
Can I change my PIN on my replacement card?,replacement_card_duration
Can I request a replacement card if my original card was stolen?,replacement_card_duration
How long does it take for a replacement card to be delivered?,replacement_card_duration
What if my replacement card is lost or stolen?,replacement_card_duration
Will my replacement card have a different card number than my original card?,replacement_card_duration
Can I use my replacement card for recurring payments?,replacement_card_duration
How long does it take for a replacement card PIN to arrive?,replacement_card_duration
Is there a limit on replacement card transactions?,replacement_card_duration
Can I use a replacement card at the same merchants as my original card?,replacement_card_duration
Are there any restrictions on replacement card usage?,replacement_card_duration
Will my replacement card have the same credit limit as my original card?,replacement_card_duration
Can I use my replacement card to make international purchases?,replacement_card_duration
Do I need to notify merchants of my replacement card?,replacement_card_duration
