Sentence,Label
How long does it usually take to get a replacement card?,replacement_card_duration
Can you tell me about the process to get a replacement card?,replacement_card_duration
What is the expected turnaround time for a replacement card?,replacement_card_duration
"If I lose my card, how soon can I get a replacement?",replacement_card_duration
Is there an expedited option for getting a replacement card?,replacement_card_duration
How many days will it take to receive a replacement card once requested?,replacement_card_duration
Are there any fees associated with getting a replacement card?,replacement_card_duration
Can I track the progress of the replacement card delivery?,replacement_card_duration
What is the quickest replacement card delivery service offered by the bank?,replacement_card_duration
Is there an option to pick up the replacement card in person?,replacement_card_duration
Can you explain the documents required to apply for a replacement card?,replacement_card_duration
Do I need to deactivate my lost card before applying for a replacement?,replacement_card_duration
How will I receive the replacement card?,replacement_card_duration
Will the new card have the same PIN as the old one?,replacement_card_duration
Will I be able to use the replacement card for online transactions?,replacement_card_duration
Are there any restrictions on using the replacement card until it arrives?,replacement_card_duration
Can I choose the delivery speed for the replacement card?,replacement_card_duration
Are there any options for getting a replacement card on the same day?,replacement_card_duration
How do I request a replacement card?,replacement_card_duration
What should I do if I find my original card after requesting a replacement?,replacement_card_duration
Can I apply for a replacement card through mobile banking?,replacement_card_duration
Is it possible to apply for a replacement card over the phone?,replacement_card_duration
Will the replacement card have the same credit limit as the original?,replacement_card_duration
How can I ensure the safe delivery of the replacement card?,replacement_card_duration
Can I apply for a new card if I don't want a replacement?,replacement_card_duration
Does the bank offer any temporary card options while waiting for a replacement?,replacement_card_duration
How long does it take to activate the replacement card?,replacement_card_duration
Can I customize the design of the replacement card?,replacement_card_duration
Is it possible to have the replacement card shipped to a different address?,replacement_card_duration
Are there any specific days of the week when replacement cards are not processed?,replacement_card_duration
What happens to any pending transactions on my lost card?,replacement_card_duration
Can I still make payments using any saved card information while waiting for a replacement?,replacement_card_duration
Will the replacement card have the same rewards program as the original?,replacement_card_duration
Can I request a replacement card from a different account?,replacement_card_duration
Will I have to update any automatic payment information for recurring charges with the new card?,replacement_card_duration
Is there an option to expedite the review process for a replacement card application?,replacement_card_duration
Does the replacement card come with a different card number or will the old number still apply?,replacement_card_duration
Will the replacement card have the same expiration date as the original?,replacement_card_duration
Can I request a replacement for a damaged card as well?,replacement_card_duration
Is there an option to upgrade the card when requesting a replacement?,replacement_card_duration
How long will I be without access to my account during the replacement process?,replacement_card_duration
Can I apply for a replacement card if I am traveling internationally?,replacement_card_duration
What should I do if the replacement card itself is lost or stolen during delivery?,replacement_card_duration
Is there a limit to how many times a card can be replaced within a certain time frame?,replacement_card_duration
Can I apply for a replacement card if I have a temporary hold on my account?,replacement_card_duration
Are there any age restrictions for requesting a replacement card?,replacement_card_duration
What happens to any rewards or points earned on the original card?,replacement_card_duration
Will the replacement card be shipped with tracking information?,replacement_card_duration
Can I request a replacement card for a joint account?,replacement_card_duration
Is there an option to disable a replacement card in case it is lost or stolen again?,replacement_card_duration
Can you tell me how many PTO days I have left?,pto_used
How many vacation days do I have remaining?,pto_used
What's my current PTO balance?,pto_used
I'd like to know how many days off I still have.,pto_used
Can you provide me with my available PTO days?,pto_used
Could you tell me the number of vacation days I have?,pto_used
Please let me know how many PTOs I have left.,pto_used
What's my PTO status?,pto_used
Could you give me an update on my PTO balance?,pto_used
How many days of PTO am I entitled to?,pto_used
I want to check the number of vacation days I have.,pto_used
Can you tell me my remaining vacation days?,pto_used
How many days of PTO have I used so far?,pto_used
What is my current PTO entitlement?,pto_used
Please let me know my unused vacation days.,pto_used
Can you provide me with the available time off?,pto_used
I need to know my PTO balance.,pto_used
What is the status of my vacation days?,pto_used
Can you inform me about the number of PTO days I have left?,pto_used
I'd like to request a list of my unused PTO days.,pto_used
How many PTO days have I accrued this year?,pto_used
Please tell my remaining time off balance.,pto_used
Am I entitled to more vacation days this year?,pto_used
Can you update me on my remaining PTOs?,pto_used
How many holidays do I have available currently?,pto_used
What is my current vacation day balance?,pto_used
What's the status of my PTO entitlement?,pto_used
Could you let me know my accrued PTO hours?,pto_used
What's my vacation day allowance for this year?,pto_used
Can I know the available days of PTO I have?,pto_used
"I need to check my PTO balance, please.",pto_used
How many vacation days do I still have left?,pto_used
Please tell me how much time off I have left.,pto_used
What is the number of PTO days I have available?,pto_used
Could you give me an update on my vacation balance?,pto_used
Please let me know my vacation entitlement.,pto_used
How many PTO days do I have left for this year?,pto_used
I want to know the current status of my PTO days.,pto_used
"Can you update me on my time off balance, please?",pto_used
Can you tell me how many PTOs I have earned this year?,pto_used
I'd like to know how many vacation days I get per year.,pto_used
What is my PTO entitlement based on the company policy?,pto_used
Could you please inform me about the remaining holidays?,pto_used
I want to know the total number of PTO days I can take this year.,pto_used
Please let me know my remaining vacation entitlement for this year.,pto_used
What's my available time off balance?,pto_used
Can you confirm my current PTO entitlement?,pto_used
How many PTOs do I have available in my account?,pto_used
Could you update me on my vacation hours balance?,pto_used
What is the total number of PTO hours I have used so far?,pto_used
Can you activate whisper mode?,whisper_mode
How do I turn on whisper mode?,whisper_mode
"I need to switch to whisper mode, can you help me with that?",whisper_mode
Can you make my voice sound like a whisper?,whisper_mode
Can you lower my voice to a whisper?,whisper_mode
Can you whisper everything I say?,whisper_mode
